;Month;Day;Hour;Air pressure;Air temperature;RAD radiation;Precipitation;Realtive humidity;UVB radiation;CO;NO2;NOx;O3;PM2.5;PM10;SO2;C6H6;timestamp
96407;1;1;0;1008.0;-6.6;0.0;62.8;0.3;137.9;0.799;41.0;50.0;11.0;10.0;92.0;;5.01;0
96408;1;1;1;1007.8;-7.4;0.0;69.6;0.5;98.7;0.843089;38.997;67.3052;14.3284;4.52378;233.76;244.272;5.2538800000000005;1
96409;1;1;2;1007.7;-7.1;0.0;72.3;0.6;156.5;0.6374489999999999;33.4732;41.8251;12.6397;10.1911;81.7649;102.633;4.7413300000000005;2
96410;1;1;3;1007.4;-6.5;0.0;71.0;0.5;161.9;0.686096;37.8838;47.597;9.6662;6.09978;67.1229;77.7259;4.6658;3
96411;1;1;4;1007.3;-5.6;0.0;69.2;0.5;155.8;0.748351;39.5837;54.0869;10.4162;4.21295;61.2146;69.5621;4.77038;4
96412;1;1;5;1007.2;-5.4;0.0;68.4;0.7;153.8;0.7285689999999999;32.5428;41.0801;9.043;7.85548;54.6931;65.5295;4.71317;5
96413;1;1;6;1007.1;-5.3;0.0;69.8;0.5;139.3;0.666396;25.2319;28.881;8.66028;11.413;56.7127;65.53399999999999;4.7075;6
96414;1;1;7;1007.1;-5.0;0.0;71.0;0.4;158.4;0.704393;30.0091;37.8971;7.494269999999998;4.6584400000000015;52.4072;64.54899999999999;4.76285;7
96415;1;1;8;1007.1;-5.1;0.0;78.5;0.5;132.7;0.74733;28.8273;37.7111;5.03215;3.97163;64.7542;71.2644;4.93193;8
96416;1;1;9;1007.3;-5.2;0.0;88.7;0.4;158.7;0.7459899999999999;22.7206;29.5516;5.4946;7.17834;69.9767;76.91;4.95661;9
96417;1;1;10;1007.1;-4.9;0.0;93.9;0.6;156.7;0.783654;23.8461;35.4936;9.01707;8.95861;77.8197;81.1304;5.75392;10
96418;1;1;11;1007.1;-4.2;0.0;96.3;0.1;169.1;0.7981739999999999;27.5376;48.0306;12.9517;6.32975;86.8537;90.3096;5.6687;11
96419;1;1;12;1006.9;-3.8;0.0;96.7;0.4;120.8;1.0103;27.73;58.8221;18.0472;5.85745;95.838;101.885;6.17212;12
96420;1;1;13;1006.6;-3.8;0.0;97.1;0.6;96.9;0.810247;19.9983;36.432;12.7942;8.30445;83.916;86.4934;6.239719999999998;13
96421;1;1;14;1006.4;-3.6;2.0;97.5;0.6;94.4;0.810017;19.18;31.4566;10.2173;10.919;82.9321;82.5243;5.67558;14
96422;1;1;15;1006.5;-3.7;0.8;97.2;0.6;86.7;0.793157;22.0532;32.8005;8.84188;9.23016;81.191;83.1016;5.69975;15
96423;1;1;16;1006.7;-3.8;0.5;97.2;0.5;85.2;0.822362;25.3892;35.196;7.9390399999999985;6.582139999999999;82.954;85.4186;5.69492;16
96424;1;1;17;1006.8;-3.8;0.2;97.7;0.6;89.7;0.908967;29.465;42.9888;7.787910000000001;3.3963400000000004;;84.1306;5.96819;17
96425;1;1;18;1006.8;-4.0;0.0;98.1;0.8;100.1;0.773645;24.6469;34.5052;8.11077;4.52855;77.238;77.028;5.89756;18
96426;1;1;19;1006.8;-4.3;0.2;98.6;1.0;110.3;0.663341;18.7166;23.2238;7.08027;9.609;61.5909;64.8063;5.32676;19
96427;1;1;20;1006.8;-4.5;0.0;98.6;1.1;109.8;0.666654;17.0454;19.9823;5.95743;11.4051;64.1397;68.4135;5.46359;20
96428;1;1;21;1007.0;-4.7;0.2;98.6;0.9;111.1;0.67002;19.2671;22.0335;5.48214;11.3551;59.4551;67.0614;5.58702;21
96429;1;1;22;1006.9;-4.7;0.1;98.6;1.0;109.2;0.654995;19.2272;22.1223;5.37588;11.46;70.6883;71.6224;5.6665800000000015;22
96430;1;1;23;1006.7;-5.0;0.1;98.6;1.3;112.1;0.617205;19.1433;21.6047;6.14048;12.8676;62.0741;67.2048;5.7447;23
96431;1;2;0;1006.6;-5.0;0.1;98.6;1.0;114.5;0.669265;23.8296;26.4111;6.70194;9.44993;75.5341;78.8412;6.1515;24
96432;1;2;1;1006.4;-5.0;0.0;98.6;1.1;122.5;0.677084;23.8195;26.6816;8.18085;11.6034;83.7661;87.5497;5.92272;25
96433;1;2;2;1006.3;-5.2;0.0;98.3;1.3;116.8;0.761843;24.5204;26.9409;12.8991;13.4397;87.6642;95.2796;5.89122;26
96434;1;2;3;1006.2;-5.9;0.1;91.7;1.4;105.9;0.951172;28.3177;30.6643;20.8026;15.2396;99.7019;106.764;6.28992;27
96435;1;2;4;1006.3;-7.8;0.1;87.0;1.5;104.2;0.919825;27.0116;29.0898;22.0682;18.014;;98.2576;6.32528;28
96436;1;2;5;1006.5;-9.3;0.1;84.1;1.7;109.8;0.8047529999999999;22.6207;24.6129;18.9694;21.0795;83.954;88.2844;6.073919999999998;29
96437;1;2;6;1006.8;-10.6;0.1;81.8;1.9;112.6;0.604046;15.4958;16.9981;12.299;26.7296;63.2958;69.9693;5.50352;30
96438;1;2;7;1007.3;-11.7;0.1;79.8;1.8;112.1;0.440247;12.2459;13.8517;8.830789999999997;30.1181;45.8776;47.1136;4.794980000000002;31
96439;1;2;8;1007.6;-13.5;0.2;79.1;1.6;110.1;0.34765;10.1527;11.5248;5.61533;32.943000000000005;29.1537;32.2563;3.91813;32
96440;1;2;9;1007.9;-14.3;0.2;80.4;2.0;113.9;0.342656;10.7144;13.4638;6.883189999999999;33.3869;36.7805;40.8635;3.55182;33
96441;1;2;10;1008.2;-13.7;0.3;76.6;2.0;117.1;0.374808;10.5715;14.746;8.51197;35.2555;38.9167;39.6029;3.68345;34
96442;1;2;11;1008.3;-12.7;0.2;71.0;1.7;128.8;0.420451;11.3813;18.7341;13.6864;37.3987;38.2346;48.0923;4.35397;35
96443;1;2;12;1008.0;-12.0;0.2;68.8;1.9;124.2;0.4300350000000001;10.4189;17.2181;13.1464;41.9838;40.3705;44.7554;4.14709;36
96444;1;2;13;1007.6;-10.8;0.2;65.9;2.1;118.2;0.396152;9.30728;13.8251;10.5953;46.8551;37.5802;37.4816;4.14272;37
96445;1;2;14;1007.2;-9.7;0.2;64.5;1.6;115.5;0.4441479999999999;13.7173;19.5408;13.0325;46.2177;47.3407;51.8691;4.49244;38
96446;1;2;15;1007.0;-9.7;0.2;65.3;1.9;115.1;0.458974;14.3858;18.8818;13.7019;44.483;45.9385;48.5332;4.2867;39
96447;1;2;16;1007.1;-10.3;0.2;67.3;1.9;115.9;0.376303;15.5043;18.9174;11.0518;42.0302;35.8947;44.9655;4.19692;40
96448;1;2;17;1007.3;-10.9;;67.4;2.0;116.7;0.419671;16.0862;18.275;11.2104;42.1641;35.0994;41.5952;4.03475;41
96449;1;2;18;1007.3;-11.5;0.2;67.6;1.9;117.2;0.414738;15.2195;17.1899;11.5139;41.3156;32.1738;38.7147;3.879;42
96450;1;2;19;1007.3;-12.0;0.1;68.9;1.7;120.4;0.491344;18.2309;20.8464;12.2642;38.3555;42.3333;41.7861;4.2763300000000015;43
